CSV text has been written to file : CMOS&TTL74.csv

Library Component Count : 896

Name                Description
SN74LS190           SYN UP/DOWN CNT DOWN/UP MODE CONTTOL
SN74190             SYN UP/DOWN CNT DOWN/UP MODE CONTTOL
SN74LS191           SYN UP/DOWN CNT DOWN/UP MODE CONTTOL
SN74191             SYN UP/DOWN CNT DOWN/UP MODE CONTTOL
SN74LS192           SYN 4-BIT UP/DOWN CNT DUAL CLK CR
SN74192             SYN 4-BIT UP/DOWN CNT DUAL CLK CR
SN74LS193           SYN 4-BIT UP/DOWN CNT DUAL CLK CR
SN74193             SYN 4-BIT UP/DOWN CNT DUAL CLK CR
SN74LS194A          4-BIT BIDIRECTIONAL UNIVERSAL SFT REG
SN74194             4-BIT BIDIRECTIONAL UNIVERSAL SFT REG
SN74S194            4-BIT BIDIRECTIONAL UNIVERSAL SFT REG
SN74LS195A          4-BIT PARALLEL ACCESS SFT REG
SN74S195            4-BIT PARALLEL ACCESS SFT REG
SN74LS196           50/30/100-MHZ PRESETTABLE DECADE BIN CNT LCH
SN74S196            50/30/100-MHZ PRESETTABLE DECADE BIN CNT LCH
SN74196             50/30/100-MHZ PRESETTABLE DECADE BIN CNT LCH
SN74LS197           50/30/100-MHZ PRESETTABLE DECADE BIN CNT LCH
SN74197             50/30/100-MHZ PRESETTABLE DECADE BIN CNT LCH
SN74S197            50/30/100-MHZ PRESETTABLE DECADE BIN CNT LCH
SN74LS221           DUAL MONOSTABLE MULTIVIBRATOR SCHI
SN74221             DUAL MONOSTABLE MULTIVIBRATOR SCHI
SN74LS240           OCTAL BUF AND LIN DRV 3SO
SN74S240            OCTAL BUF AND LIN DRV 3SO
SN74LS241           OCTAL BUF AND LIN DRV 3SO
SN74S241            OCTAL BUF AND LIN DRV 3SO
SN74LS242           QUAD BUS TRANSCEIVER
SN74LS243           QUAD BUS TRANSCEIVER
SN74LS244           OCTAL BUF AND LIN DRV 3SO
SN74S244            OCTAL BUF AND LIN DRV 3SO
SN74LS245           QUAD BUS TRANSCEIVER 3SO
SN74246             BCD-TO-SEVEN-SEGMENTDEC/DRV
SN74247             BCD-TO-SEVEN-SEGMENTDEC/DRV
